source_file,clause_id,clause_text,week2_category,regex_label,ground_truth
AI Powered Legal Contract Risk Assessment (1).pdf,0,"This will cover: ● Risk Assessment ● Clause Extraction ● Obligation Tracking ● Compliance Checking ● Contract Comparison ● Negotiation Insights ● RAG-based Legal Q&A ● Explainability ● Architecture + Deployment Design Assumptions: ● Students know Python (intermediate) ● Allowed: LangChain, Ollama, open-source SLMs ● Python-only frontend + backend (Streamlit/FastAPI allowed) ● Weekly 1-hour demo ● Teams choose their own industry ● No actual deployment, but full architecture plan required 8-Week Capsule Plan Project: AI-Powered Legal Contract Intelligence System Week Focus Area Concepts Covered Technical Implementation Weekly Deliverable Demo Expectations Wee Problem Framing & Contract lifecycle, industry-specific contracts, risk types, Define industry (FinTech, Healthcare, SaaS, Real Estate, etc.), collect 10–20 sample contracts Problem Statement + Use Case Explain industry pain points k 1 Industry Selection legal NLP basics (public/redacted), define value proposition Document + Dataset & system vision Week 2 Contract Structure Understanding Legal clause taxonomy, NER in legal docs, document parsing Build contract parser (PDF → text), chunking strategy, clause segmentation, basic metadata extraction Working parser + structured JSON output Live parsing of contract into structured format Week 3 LLM Integration (Ollama + LangChain) Prompt engineering, SLM vs LLM behavior, structured outputs Integrate Ollama model, build clause extractor using prompt templates, output structured JSON Clause Extraction Module Live demo extracting clauses automatically Week 4 Risk & Obligation Intelligence Risk taxonomy design, obligation detection, rule-based + LLM hybrid logic Implement: Risk classification, Obligation extraction, Simple risk scoring algorithm Risk & Obligation Analyzer Show risk heatmap & obligation summary Week 5 RAG-based Contract Q&A & Compliance Embeddings, vector DB, Retrieval Augmented Generation Build RAG pipeline using contract corpus",Term and Termination,General Provisions,Amendments
AI Powered Legal Contract Risk Assessment (1).pdf,1,"allow natural language queries like: “What are termination penalties?” Contract Q&A module Live Q&A over uploaded contract Week 6 Advanced Intelligence Features Contract comparison, deviation detection, explainability, hallucination control Implement: Compare 2 contracts",Term and Termination,Term and Termination,General Provisions
AI Powered Legal Contract Risk Assessment (1).pdf,3,"add explainability layer (why risk assigned) Contract Comparator + Explainable Risk Engine Demo comparison of vendor vs standard template Week 7 Application Integration (Frontend + Backend) API design, modular architecture, logging, evaluation Build full Python app (Streamlit or FastAPI)",Assignment,Assignment,General Provisions
AI Powered Legal Contract Risk Assessment (1).pdf,5,"add logging & basic evaluation metrics Fully working integrated system End-to-end demo: Upload → Analyze → Report Week 8 Architecture & Deployment Planning System design, scalability, security, model hosting, compliance (GDPR, etc.) Design production-ready architecture (on-prem vs cloud), CI/CD plan, model serving plan, cost estimation Architecture Document + Deployment Plan + Final Presentation Final system demo + Architecture walkthrough Suggested Technical Stack Layer Technology LLM Ollama (Mistral / LLaMA / Phi / Gemma SLM) Framework LangChain Embeddings Ollama embeddings or SentenceTransformers Vector DB FAISS / Chroma Backend FastAPI Frontend Streamlit (recommended) Storage JSON / SQLite Logging Python logging module Suggested Repository Structure contract-ai/ │ ├── data/ ├── models/ ├── ingestion/ │ ├── parser.py │ ├── chunking.py │ ├── intelligence/ │ ├── clause_extractor.py │ ├── risk_engine.py │ ├── obligation_detector.py │ ├── comparator.py │ ├── rag/ │ ├── embedder.py │ ├── retriever.py │ ├── app/ │ ├── api.py │ ├── ui.py │ ├── evaluation/ ├── architecture/ └── main.py Industry Examples Students Can Choose ● Healthcare Provider Agreements ● SaaS Vendor Contracts ● Insurance Policies ● Real Estate Lease Agreements ● Supply Chain Agreements ● Employment Contracts ● Banking Loan Agreements Final Week Architecture Requirements They must design: ● Microservice architecture diagram ● Model serving layer ● RAG pipeline diagram ● Security & access control ● Data privacy compliance plan ● Cost estimation ● Monitoring strategy ● Human-in-the-loop workflow (No actual deployment required.)",Parties,Parties,Representations and Warranties
Law_Insider_american-express-receivables-financing-corp-iii-llc_underwriting-agreement-american-express-credit-account-master-trust-1500000000-class-a-series-20_Filed_07-05-2025_Contract.pdf,0,"Exhibit 1.1Execution Version Underwriting Agreement American Express Credit Account Master Trust $1,500,000,000 Class ASeries 2025-2 4.28% Asset Backed Certiﬁcates May 6, 2025New York, New York RBC Capital Markets, LLC, as a Representative (in such capacity, a “Representative” and, together with any other Representative, the “Representatives”) of the several Underwriters named in Schedule A hereofBrookﬁeld Place000 Xxxxx XxxxxxNew York, New York 10281 BofA Securities, Inc., as a Representative (in such capacity, a “Representative” and, together with any other Representative, the “Representatives”) of the several Underwriters named in Schedule A hereofOne Bryant Park, 11th FloorNew York, New York 10036 Citigroup Global Markets Inc., as a Representative (in such capacity, a “Representative” and, together with any other Representative, the “Representatives”) of the several Underwriters named in Schedule A hereof000 Xxxxxxxxx Xxxxxx, 0xx XxxxxNew York, New York 10013 Xxxxx Fargo Securities, LLC, as a Representative (in such capacity, a “Representative” and, together with any other Representative, the “Representatives”) of the several Underwriters named in Schedule A hereof000 X.",Parties,Representations and Warranties,Representations and Warranties
Law_Insider_american-express-receivables-financing-corp-iii-llc_underwriting-agreement-american-express-credit-account-master-trust-1500000000-class-a-series-20_Filed_07-05-2025_Contract.pdf,1,"Xxxxx Xxxxxx, 0xx XxxxxCharlotte, North Carolina 28202 Ladies and Gentlemen: The undersigned, AMERICAN EXPRESS RECEIVABLES FINANCING CORPORATION III LLC (“RFC III” or the“Transferor”), has authorized the issuance of $1,500,000,000 (aggregate principal amount) Class A Series 2025-2 4.28%Asset Backed Certiﬁcates (the “Class A Certiﬁcates”), and $64,286,000 (aggregate principal amount) Class B Series2025-2 4.59% Asset Backed Certiﬁcates (the “Class B Certiﬁcates” and, together with the Class A Certiﬁcates, the“Certiﬁcates”) and the sale of the Class A Certiﬁcates to you and to the underwriters named in Schedule A hereto (the “Underwriters”).",Assignment,Assignment,Representations and Warranties
Law_Insider_american-express-receivables-financing-corp-iii-llc_underwriting-agreement-american-express-credit-account-master-trust-1500000000-class-a-series-20_Filed_07-05-2025_Contract.pdf,2,"The Certiﬁcates will be issued pursuant to a Fourth Amended and Restated Pooling andServicing Agreement, dated as of April 1, 2018, as otherwise amended from time to time and as supplemented by the Series2025-2 Supplement thereto, to be dated as of May 13, 2025 (together, the “Pooling and Servicing Agreement”), amongthe Transferor, American Express Travel Related Services Company, Inc.",Parties,Amendments,Amendments
Law_Insider_american-express-receivables-financing-corp-iii-llc_underwriting-agreement-american-express-credit-account-master-trust-1500000000-class-a-series-20_Filed_07-05-2025_Contract.pdf,3,"(“TRS”), as servicer (in such capacity, the“Servicer”), and The Bank of New York Mellon, as trustee (the “Trustee”).",General Provisions,General Provisions,Representations and Warranties
Law_Insider_american-express-receivables-financing-corp-iii-llc_underwriting-agreement-american-express-credit-account-master-trust-1500000000-class-a-series-20_Filed_07-05-2025_Contract.pdf,4,The Certiﬁcates are more fully described in theRegistration Statement (deﬁned below).,Governing Law,General Provisions,Representations and Warranties
Law_Insider_american-express-receivables-financing-corp-iii-llc_underwriting-agreement-american-express-credit-account-master-trust-1500000000-class-a-series-20_Filed_07-05-2025_Contract.pdf,5,"The Class A Certiﬁcates will be sold pursuant to this Underwriting Agreement (this “Agreement”), and theClass B Certiﬁcates will be sold pursuant to a purchase agreement, dated as of the date hereof (the “Class B PurchaseAgreement”), between the Transferor and RFC III, as the initial purchaser.",Parties,Assignment,Representations and Warranties
